"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,4,0,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,26,-0.2,"No"
7,0,13,2,44,126,0.271,0.339,0.41,0.749,7,149,152,149,0.6,"No"
7,2,15,4,30,125,0.261,0.319,0.419,0.738,2,133,144,137,0.9,"No"
7,2,11,5,16,74,0.23,0.281,0.378,0.659,3,76,105,85,0.5,"No"
9,2,4,2,10,84,0.233,0.274,0.347,0.621,1,75,108,84,0.6,"No"
29,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,4,0,4,0.1,"No"
35,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,3,0,8,0,"No"
30,0,0,0,0,7,0,0,0,0,0,7,9,9,0.7,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,24,1.4,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,11,2,41,1.9,"No"
23,0,0,0,1,5,0,0.1,0,0.1,0,30,3,30,5,"22"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,8,0,8,-0.1,"No"
35,0,0,0,0,0,0,0,0,0,0,20,1,20,0.7,"No"
28,0,0,0,0,0,0,0,0,0,0,23,1,23,-0.6,"No"
30,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,7,0,7,-0.9,"No"
57,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,29,-0.5,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,3,0,4,-0.2,"No"
49,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,2,0,4,0,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,0,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,0,11,0.4,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,7,0.2,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,6,41,-0.2,"No"
40,0,0,0,1,0,0.194117349256831,1,0.297272473550983,0.546554098786266,0,1,4,4,-0.1,"No"
33,0,0,0,0,5,0,0,0,0,0,2,5,5,-0.3,"No"
20,0,0,0,0,0,0,0,0,0,0,0,3,2,0.1,"No"
33,0,0,0,0,1,0,0,0,0,0,2,3,3,0.2,"No"
39,0,0,0,0,1,0,0,0,0,0,1,3,3,-0.4,"No"
31,0,1,0,0,1,0.333,0.333,1.333,1.667,0,0,8,8,-0.1,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,5,-0.2,"No"
35,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,2,0,"No"
